ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
arb-Ritchie-2019-110-18-1,,arb,Ritchie-2019-110-18,سَبْعَ عَشْرَةَ,سَبْعَ عَشْرَةَ,,,Ritchie2019,,
arb-Ritchie-2019-110-19-1,,arb,Ritchie-2019-110-19,ثَمانَ عَشْرَةَ,ثَمانَ عَشْرَةَ,,,Ritchie2019,,
arb-Ritchie-2019-110-20-1,,arb,Ritchie-2019-110-20,تِسْعَ عَشْرَةَ,تِسْعَ عَشْرَةَ,,,Ritchie2019,,
arb-Ritchie-2019-110-21-1,,arb,Ritchie-2019-110-21,عِشْرونَ,عِشْرونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-22-1,,arb,Ritchie-2019-110-22,واحِدً وَ عِشْرينَ,واحِدً وَ عِشْرينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-23-1,,arb,Ritchie-2019-110-23,اِثْنانِ وَ عِشْرونَ,اِثْنانِ وَ عِشْرونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-24-1,,arb,Ritchie-2019-110-24,ثَلاثً وَ عِشْرينَ,ثَلاثً وَ عِشْرينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-25-1,,arb,Ritchie-2019-110-25,أَرْبَعً وَ عِشْرينَ,أَرْبَعً وَ عِشْرينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-26-1,,arb,Ritchie-2019-110-26,خَمْسً وَ عِشْرينَ,خَمْسً وَ عِشْرينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-27-1,,arb,Ritchie-2019-110-27,سِتًّ وَ عِشْرينَ,سِتًّ وَ عِشْرينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-28-1,,arb,Ritchie-2019-110-28,سَبْعً وَ عِشْرينَ,سَبْعً وَ عِشْرينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-29-1,,arb,Ritchie-2019-110-29,ثَمانً وَ عِشْرينَ,ثَمانً وَ عِشْرينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-30-1,,arb,Ritchie-2019-110-30,تِسْعً وَ عِشْرينَ,تِسْعً وَ عِشْرينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-31-1,,arb,Ritchie-2019-110-31,ثَلاثونَ,ثَلاثونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-32-1,,arb,Ritchie-2019-110-32,واحِدً وَ ثَلاثينَ,واحِدً وَ ثَلاثينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-33-1,,arb,Ritchie-2019-110-33,اِثْنانِ وَ ثَلاثونَ,اِثْنانِ وَ ثَلاثونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-34-1,,arb,Ritchie-2019-110-34,ثَلاثً وَ ثَلاثينَ,ثَلاثً وَ ثَلاثينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-35-1,,arb,Ritchie-2019-110-35,أَرْبَعً وَ ثَلاثينَ,أَرْبَعً وَ ثَلاثينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-36-1,,arb,Ritchie-2019-110-36,خَمْسً وَ ثَلاثينَ,خَمْسً وَ ثَلاثينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-37-1,,arb,Ritchie-2019-110-37,سِتًّ وَ ثَلاثينَ,سِتًّ وَ ثَلاثينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-38-1,,arb,Ritchie-2019-110-38,سَبْعً وَ ثَلاثينَ,سَبْعً وَ ثَلاثينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-39-1,,arb,Ritchie-2019-110-39,ثَمانً وَ ثَلاثينَ,ثَمانً وَ ثَلاثينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-40-1,,arb,Ritchie-2019-110-40,تِسْعً وَ ثَلاثينَ,تِسْعً وَ ثَلاثينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-41-1,,arb,Ritchie-2019-110-41,أَرْبَعونَ,أَرْبَعونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-42-1,,arb,Ritchie-2019-110-42,واحِدً وَ أَرْبَعينَ,واحِدً وَ أَرْبَعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-43-1,,arb,Ritchie-2019-110-43,اِثْنانِ وَ أَرْبَعونَ,اِثْنانِ وَ أَرْبَعونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-44-1,,arb,Ritchie-2019-110-44,ثَلاثً وَ أَرْبَعينَ,ثَلاثً وَ أَرْبَعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-45-1,,arb,Ritchie-2019-110-45,أَرْبَعً وَ أَرْبَعينَ,أَرْبَعً وَ أَرْبَعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-46-1,,arb,Ritchie-2019-110-46,خَمْسً وَ أَرْبَعينَ,خَمْسً وَ أَرْبَعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-47-1,,arb,Ritchie-2019-110-47,سِتًّ وَ أَرْبَعينَ,سِتًّ وَ أَرْبَعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-48-1,,arb,Ritchie-2019-110-48,سَبْعً وَ أَرْبَعينَ,سَبْعً وَ أَرْبَعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-49-1,,arb,Ritchie-2019-110-49,ثَمانً وَ أَرْبَعينَ,ثَمانً وَ أَرْبَعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-50-1,,arb,Ritchie-2019-110-50,تِسْعً وَ أَرْبَعينَ,تِسْعً وَ أَرْبَعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-51-1,,arb,Ritchie-2019-110-51,خَمْسونَ,خَمْسونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-52-1,,arb,Ritchie-2019-110-52,واحِدً وَ خَمْسينَ,واحِدً وَ خَمْسينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-53-1,,arb,Ritchie-2019-110-53,اِثْنانِ وَ خَمْسونَ,اِثْنانِ وَ خَمْسونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-54-1,,arb,Ritchie-2019-110-54,ثَلاثً وَ خَمْسينَ,ثَلاثً وَ خَمْسينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-55-1,,arb,Ritchie-2019-110-55,أَرْبَعً وَ خَمْسينَ,أَرْبَعً وَ خَمْسينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-56-1,,arb,Ritchie-2019-110-56,خَمْسً وَ خَمْسينَ,خَمْسً وَ خَمْسينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-57-1,,arb,Ritchie-2019-110-57,سِتًّ وَ خَمْسينَ,سِتًّ وَ خَمْسينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-58-1,,arb,Ritchie-2019-110-58,سَبْعً وَ خَمْسينَ,سَبْعً وَ خَمْسينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-59-1,,arb,Ritchie-2019-110-59,ثَمانً وَ خَمْسينَ,ثَمانً وَ خَمْسينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-60-1,,arb,Ritchie-2019-110-60,تِسْعً وَ خَمْسينَ,تِسْعً وَ خَمْسينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-61-1,,arb,Ritchie-2019-110-61,سِتّونَ,سِتّونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-62-1,,arb,Ritchie-2019-110-62,واحِدً وَ سِتّينَ,واحِدً وَ سِتّينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-63-1,,arb,Ritchie-2019-110-63,اِثْنانِ وَ سِتّونَ,اِثْنانِ وَ سِتّونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-64-1,,arb,Ritchie-2019-110-64,ثَلاثً وَ سِتّينَ,ثَلاثً وَ سِتّينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-65-1,,arb,Ritchie-2019-110-65,أَرْبَعً وَ سِتّينَ,أَرْبَعً وَ سِتّينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-66-1,,arb,Ritchie-2019-110-66,خَمْسً وَ سِتّينَ,خَمْسً وَ سِتّينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-67-1,,arb,Ritchie-2019-110-67,سِتًّ وَ سِتّينَ,سِتًّ وَ سِتّينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-68-1,,arb,Ritchie-2019-110-68,سَبْعً وَ سِتّينَ,سَبْعً وَ سِتّينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-69-1,,arb,Ritchie-2019-110-69,ثَمانً وَ سِتّينَ,ثَمانً وَ سِتّينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-70-1,,arb,Ritchie-2019-110-70,تِسْعً وَ سِتّينَ,تِسْعً وَ سِتّينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-71-1,,arb,Ritchie-2019-110-71,سَبْعونَ,سَبْعونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-72-1,,arb,Ritchie-2019-110-72,واحِدً وَ سَبْعينَ,واحِدً وَ سَبْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-73-1,,arb,Ritchie-2019-110-73,اِثْنانِ وَ سَبْعونَ,اِثْنانِ وَ سَبْعونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-74-1,,arb,Ritchie-2019-110-74,ثَلاثً وَ سَبْعينَ,ثَلاثً وَ سَبْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-75-1,,arb,Ritchie-2019-110-75,أَرْبَعً وَ سَبْعينَ,أَرْبَعً وَ سَبْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-76-1,,arb,Ritchie-2019-110-76,خَمْسً وَ سَبْعينَ,خَمْسً وَ سَبْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-77-1,,arb,Ritchie-2019-110-77,سِتًّ وَ سَبْعينَ,سِتًّ وَ سَبْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-78-1,,arb,Ritchie-2019-110-78,سَبْعً وَ سَبْعينَ,سَبْعً وَ سَبْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-79-1,,arb,Ritchie-2019-110-79,ثَمانً وَ سَبْعينَ,ثَمانً وَ سَبْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-80-1,,arb,Ritchie-2019-110-80,تِسْعً وَ سَبْعينَ,تِسْعً وَ سَبْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-81-1,,arb,Ritchie-2019-110-81,ثَمانونَ,ثَمانونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-82-1,,arb,Ritchie-2019-110-82,واحِدً وَ ثَمانينَ,واحِدً وَ ثَمانينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-83-1,,arb,Ritchie-2019-110-83,اِثْنانِ وَ ثَمانونَ,اِثْنانِ وَ ثَمانونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-84-1,,arb,Ritchie-2019-110-84,ثَلاثً وَ ثَمانينَ,ثَلاثً وَ ثَمانينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-85-1,,arb,Ritchie-2019-110-85,أَرْبَعً وَ ثَمانينَ,أَرْبَعً وَ ثَمانينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-86-1,,arb,Ritchie-2019-110-86,خَمْسً وَ ثَمانينَ,خَمْسً وَ ثَمانينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-87-1,,arb,Ritchie-2019-110-87,سِتًّ وَ ثَمانينَ,سِتًّ وَ ثَمانينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-88-1,,arb,Ritchie-2019-110-88,سَبْعً وَ ثَمانينَ,سَبْعً وَ ثَمانينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-89-1,,arb,Ritchie-2019-110-89,ثَمانً وَ ثَمانينَ,ثَمانً وَ ثَمانينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-90-1,,arb,Ritchie-2019-110-90,تِسْعً وَ ثَمانينَ,تِسْعً وَ ثَمانينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-91-1,,arb,Ritchie-2019-110-91,تِسْعونَ,تِسْعونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-92-1,,arb,Ritchie-2019-110-92,واحِدً وَ تِسْعينَ,واحِدً وَ تِسْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-93-1,,arb,Ritchie-2019-110-93,اِثْنانِ وَ تِسْعونَ,اِثْنانِ وَ تِسْعونَ,,,Ritchie2019,,
arb-Ritchie-2019-110-94-1,,arb,Ritchie-2019-110-94,ثَلاثً وَ تِسْعينَ,ثَلاثً وَ تِسْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-95-1,,arb,Ritchie-2019-110-95,أَرْبَعً وَ تِسْعينَ,أَرْبَعً وَ تِسْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-96-1,,arb,Ritchie-2019-110-96,خَمْسً وَ تِسْعينَ,خَمْسً وَ تِسْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-97-1,,arb,Ritchie-2019-110-97,سِتًّ وَ تِسْعينَ,سِتًّ وَ تِسْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-98-1,,arb,Ritchie-2019-110-98,سَبْعً وَ تِسْعينَ,سَبْعً وَ تِسْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-99-1,,arb,Ritchie-2019-110-99,ثَمانً وَ تِسْعينَ,ثَمانً وَ تِسْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-100-1,,arb,Ritchie-2019-110-100,تِسْعً وَ تِسْعينَ,تِسْعً وَ تِسْعينَ,,,Ritchie2019,,
arb-Ritchie-2019-110-101-1,,arb,Ritchie-2019-110-101,مِئَةً,مِئَةً,,,Ritchie2019,,
arb-Ritchie-2019-110-102-1,,arb,Ritchie-2019-110-102,أَلْفً,أَلْفً,,,Ritchie2019,,
arb-Ritchie-2019-110-103-1,,arb,Ritchie-2019-110-103,عَشْرَةَ آلافٍ,عَشْرَةَ آلافٍ,,,Ritchie2019,,
arb-Ritchie-2019-110-104-1,,arb,Ritchie-2019-110-104,مِئَةَ أَلْفٍ,مِئَةَ أَلْفٍ,,,Ritchie2019,,
arb-Ritchie-2019-110-105-1,,arb,Ritchie-2019-110-105,مِلْيونً,مِلْيونً,,,Ritchie2019,,
arb-Ritchie-2019-110-106-1,,arb,Ritchie-2019-110-106,عَشْرَةَ مَلايينٍ,عَشْرَةَ مَلايينٍ,,,Ritchie2019,,
arb-Ritchie-2019-110-107-1,,arb,Ritchie-2019-110-107,مِئَةَ مِلْيونٍ,مِئَةَ مِلْيونٍ,,,Ritchie2019,,
arb-Ritchie-2019-110-108-1,,arb,Ritchie-2019-110-108,مِلْيارً,مِلْيارً,,,Ritchie2019,,
arb-Ritchie-2019-110-109-1,,arb,Ritchie-2019-110-109,عَشْرَةَ مِلْيَارَاتٍ,عَشْرَةَ مِلْيَارَاتٍ,,,Ritchie2019,,
arb-Ritchie-2019-110-110-1,,arb,Ritchie-2019-110-110,مِئَةَ مِلْيارٍ,مِئَةَ مِلْيارٍ,,,Ritchie2019,,
asm-Ritchie-2019-110-1-1,,asm,Ritchie-2019-110-1,শূণ্য,শূণ্য,,,Ritchie2019,,
asm-Ritchie-2019-110-2-1,,asm,Ritchie-2019-110-2,এক,এক,,,Ritchie2019,,
asm-Ritchie-2019-110-3-1,,asm,Ritchie-2019-110-3,দুই,দুই,,,Ritchie2019,,
asm-Ritchie-2019-110-4-1,,asm,Ritchie-2019-110-4,তিনি,তিনি,,,Ritchie2019,,
asm-Ritchie-2019-110-5-1,,asm,Ritchie-2019-110-5,চাৰি,চাৰি,,,Ritchie2019,,
asm-Ritchie-2019-110-6-1,,asm,Ritchie-2019-110-6,পাঁচ,পাঁচ,,,Ritchie2019,,
asm-Ritchie-2019-110-7-1,,asm,Ritchie-2019-110-7,ছয়,ছয়,,,Ritchie2019,,
asm-Ritchie-2019-110-8-1,,asm,Ritchie-2019-110-8,সাত,সাত,,,Ritchie2019,,
asm-Ritchie-2019-110-9-1,,asm,Ritchie-2019-110-9,আঠ,আঠ,,,Ritchie2019,,
asm-Ritchie-2019-110-10-1,,asm,Ritchie-2019-110-10,ন,ন,,,Ritchie2019,,
asm-Ritchie-2019-110-11-1,,asm,Ritchie-2019-110-11,দহ,দহ,,,Ritchie2019,,
asm-Ritchie-2019-110-12-1,,asm,Ritchie-2019-110-12,এঘাৰ,এঘাৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-13-1,,asm,Ritchie-2019-110-13,বাৰ,বাৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-14-1,,asm,Ritchie-2019-110-14,তেৰ,তেৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-15-1,,asm,Ritchie-2019-110-15,চৈধ্য,চৈধ্য,,,Ritchie2019,,
asm-Ritchie-2019-110-16-1,,asm,Ritchie-2019-110-16,পোন্ধৰ,পোন্ধৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-17-1,,asm,Ritchie-2019-110-17,ষোল্ল,ষোল্ল,,,Ritchie2019,,
asm-Ritchie-2019-110-18-1,,asm,Ritchie-2019-110-18,সোতৰ,সোতৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-19-1,,asm,Ritchie-2019-110-19,ওঠৰ,ওঠৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-20-1,,asm,Ritchie-2019-110-20,ঊনৈশ,ঊনৈশ,,,Ritchie2019,,
asm-Ritchie-2019-110-21-1,,asm,Ritchie-2019-110-21,বিশ,বিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-22-1,,asm,Ritchie-2019-110-22,একৈশ,একৈশ,,,Ritchie2019,,
asm-Ritchie-2019-110-23-1,,asm,Ritchie-2019-110-23,বাইশ,বাইশ,,,Ritchie2019,,
asm-Ritchie-2019-110-24-1,,asm,Ritchie-2019-110-24,তেইশ,তেইশ,,,Ritchie2019,,
asm-Ritchie-2019-110-25-1,,asm,Ritchie-2019-110-25,চৌবিশ,চৌবিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-26-1,,asm,Ritchie-2019-110-26,পঁচিশ,পঁচিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-27-1,,asm,Ritchie-2019-110-27,ছাব্বিশ,ছাব্বিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-28-1,,asm,Ritchie-2019-110-28,সাতাইশ,সাতাইশ,,,Ritchie2019,,
asm-Ritchie-2019-110-29-1,,asm,Ritchie-2019-110-29,আঠাইশ,আঠাইশ,,,Ritchie2019,,
asm-Ritchie-2019-110-30-1,,asm,Ritchie-2019-110-30,ঊনত্ৰিশ,ঊনত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-31-1,,asm,Ritchie-2019-110-31,ত্ৰিশ,ত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-32-1,,asm,Ritchie-2019-110-32,একত্ৰিশ,একত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-33-1,,asm,Ritchie-2019-110-33,বত্ৰিশ,বত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-34-1,,asm,Ritchie-2019-110-34,তেত্ৰিশ,তেত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-35-1,,asm,Ritchie-2019-110-35,চৌত্ৰিশ,চৌত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-36-1,,asm,Ritchie-2019-110-36,পঁয়ত্ৰিশ,পঁয়ত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-37-1,,asm,Ritchie-2019-110-37,ছয়ত্ৰিশ,ছয়ত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-38-1,,asm,Ritchie-2019-110-38,সাতত্ৰিশ,সাতত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-39-1,,asm,Ritchie-2019-110-39,আঠত্ৰিশ,আঠত্ৰিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-40-1,,asm,Ritchie-2019-110-40,ঊনচল্লিশ,ঊনচল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-41-1,,asm,Ritchie-2019-110-41,চল্লিশ,চল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-42-1,,asm,Ritchie-2019-110-42,একচল্লিশ,একচল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-43-1,,asm,Ritchie-2019-110-43,বিয়াল্লিশ,বিয়াল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-44-1,,asm,Ritchie-2019-110-44,তিয়াল্লিশ,তিয়াল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-45-1,,asm,Ritchie-2019-110-45,চৌচল্লিশ,চৌচল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-46-1,,asm,Ritchie-2019-110-46,পঞ্চল্লিশ,পঞ্চল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-47-1,,asm,Ritchie-2019-110-47,ছয়চল্লিশ,ছয়চল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-48-1,,asm,Ritchie-2019-110-48,সাতচল্লিশ,সাতচল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-49-1,,asm,Ritchie-2019-110-49,আঠচল্লিশ,আঠচল্লিশ,,,Ritchie2019,,
asm-Ritchie-2019-110-50-1,,asm,Ritchie-2019-110-50,ঊনপঞ্চাশ,ঊনপঞ্চাশ,,,Ritchie2019,,
asm-Ritchie-2019-110-51-1,,asm,Ritchie-2019-110-51,পঞ্চাশ,পঞ্চাশ,,,Ritchie2019,,
asm-Ritchie-2019-110-52-1,,asm,Ritchie-2019-110-52,একাৱন,একাৱন,,,Ritchie2019,,
asm-Ritchie-2019-110-53-1,,asm,Ritchie-2019-110-53,বাৱন,বাৱন,,,Ritchie2019,,
asm-Ritchie-2019-110-54-1,,asm,Ritchie-2019-110-54,তেৱন,তেৱন,,,Ritchie2019,,
asm-Ritchie-2019-110-55-1,,asm,Ritchie-2019-110-55,চৌৱন,চৌৱন,,,Ritchie2019,,
asm-Ritchie-2019-110-56-1,,asm,Ritchie-2019-110-56,পঁচপন্ন,পঁচপন্ন,,,Ritchie2019,,
asm-Ritchie-2019-110-57-1,,asm,Ritchie-2019-110-57,ছাপন্ন,ছাপন্ন,,,Ritchie2019,,
asm-Ritchie-2019-110-58-1,,asm,Ritchie-2019-110-58,সাতাৱন,সাতাৱন,,,Ritchie2019,,
asm-Ritchie-2019-110-59-1,,asm,Ritchie-2019-110-59,আঠাৱন,আঠাৱন,,,Ritchie2019,,
asm-Ritchie-2019-110-60-1,,asm,Ritchie-2019-110-60,ঊনষাঠি,ঊনষাঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-61-1,,asm,Ritchie-2019-110-61,ষাঠি,ষাঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-62-1,,asm,Ritchie-2019-110-62,একষষ্ঠি,একষষ্ঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-63-1,,asm,Ritchie-2019-110-63,বাষষ্ঠি,বাষষ্ঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-64-1,,asm,Ritchie-2019-110-64,তেষষ্ঠি,তেষষ্ঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-65-1,,asm,Ritchie-2019-110-65,চৌষষ্ঠি,চৌষষ্ঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-66-1,,asm,Ritchie-2019-110-66,পঁয়ষষ্ঠি,পঁয়ষষ্ঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-67-1,,asm,Ritchie-2019-110-67,ছয়ষষ্ঠি,ছয়ষষ্ঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-68-1,,asm,Ritchie-2019-110-68,সাতষষ্ঠি,সাতষষ্ঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-69-1,,asm,Ritchie-2019-110-69,আঠষষ্ঠি,আঠষষ্ঠি,,,Ritchie2019,,
asm-Ritchie-2019-110-70-1,,asm,Ritchie-2019-110-70,ঊনসত্তৰ,ঊনসত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-71-1,,asm,Ritchie-2019-110-71,সত্তৰ,সত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-72-1,,asm,Ritchie-2019-110-72,একসত্তৰ,একসত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-73-1,,asm,Ritchie-2019-110-73,বাসত্তৰ,বাসত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-74-1,,asm,Ritchie-2019-110-74,তেসত্তৰ,তেসত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-75-1,,asm,Ritchie-2019-110-75,চৌসত্তৰ,চৌসত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-76-1,,asm,Ritchie-2019-110-76,পঁয়সত্তৰ,পঁয়সত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-77-1,,asm,Ritchie-2019-110-77,ছয়সত্তৰ,ছয়সত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-78-1,,asm,Ritchie-2019-110-78,সাতসত্তৰ,সাতসত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-79-1,,asm,Ritchie-2019-110-79,আঠসত্তৰ,আঠসত্তৰ,,,Ritchie2019,,
asm-Ritchie-2019-110-80-1,,asm,Ritchie-2019-110-80,ঊনাশী,ঊনাশী,,,Ritchie2019,,
asm-Ritchie-2019-110-81-1,,asm,Ritchie-2019-110-81,আশী,আশী,,,Ritchie2019,,
asm-Ritchie-2019-110-82-1,,asm,Ritchie-2019-110-82,একাশী,একাশী,,,Ritchie2019,,
asm-Ritchie-2019-110-83-1,,asm,Ritchie-2019-110-83,বিৰাশী,বিৰাশী,,,Ritchie2019,,
asm-Ritchie-2019-110-84-1,,asm,Ritchie-2019-110-84,তিৰাশী,তিৰাশী,,,Ritchie2019,,
asm-Ritchie-2019-110-85-1,,asm,Ritchie-2019-110-85,চৌৰাশী,চৌৰাশী,,,Ritchie2019,,
asm-Ritchie-2019-110-86-1,,asm,Ritchie-2019-110-86,পঁচাশী,পঁচাশী,,,Ritchie2019,,
asm-Ritchie-2019-110-87-1,,asm,Ritchie-2019-110-87,ছিয়াশী,ছিয়াশী,,,Ritchie2019,,
asm-Ritchie-2019-110-88-1,,asm,Ritchie-2019-110-88,সাতাশী,সাতাশী,,,Ritchie2019,,
asm-Ritchie-2019-110-89-1,,asm,Ritchie-2019-110-89,আঠাশী,আঠাশী,,,Ritchie2019,,
asm-Ritchie-2019-110-90-1,,asm,Ritchie-2019-110-90,ঊনানব্বৈ,ঊনানব্বৈ,,,Ritchie2019,,
asm-Ritchie-2019-110-91-1,,asm,Ritchie-2019-110-91,নব্বৈ,নব্বৈ,,,Ritchie2019,,
asm-Ritchie-2019-110-92-1,,asm,Ritchie-2019-110-92,একানব্বৈ,একানব্বৈ,,,Ritchie2019,,
asm-Ritchie-2019-110-93-1,,asm,Ritchie-2019-110-93,বিৰানব্বৈ,বিৰানব্বৈ,,,Ritchie2019,,
asm-Ritchie-2019-110-94-1,,asm,Ritchie-2019-110-94,তিৰানব্বৈ,তিৰানব্বৈ,,,Ritchie2019,,
asm-Ritchie-2019-110-95-1,,asm,Ritchie-2019-110-95,চৌৰানব্বৈ,চৌৰানব্বৈ,,,Ritchie2019,,
asm-Ritchie-2019-110-96-1,,asm,Ritchie-2019-110-96,পঁচানব্বৈ,পঁচানব্বৈ,,,Ritchie2019,,
asm-Ritchie-2019-110-97-1,,asm,Ritchie-2019-110-97,ছিয়ানব্বৈ,ছিয়ানব্বৈ,,,Ritchie2019,,
