ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
ace-Ritchie-2019-110-50-1,,ace,Ritchie-2019-110-50,peuët plôh sikureuëng,peuët plôh sikureuëng,,,Ritchie2019,,
ace-Ritchie-2019-110-51-1,,ace,Ritchie-2019-110-51,limong plôh,limong plôh,,,Ritchie2019,,
ace-Ritchie-2019-110-52-1,,ace,Ritchie-2019-110-52,limong plôh sa,limong plôh sa,,,Ritchie2019,,
ace-Ritchie-2019-110-53-1,,ace,Ritchie-2019-110-53,limong plôh duwa,limong plôh duwa,,,Ritchie2019,,
ace-Ritchie-2019-110-54-1,,ace,Ritchie-2019-110-54,limong plôh lhèë,limong plôh lhèë,,,Ritchie2019,,
ace-Ritchie-2019-110-55-1,,ace,Ritchie-2019-110-55,limong plôh peuët,limong plôh peuët,,,Ritchie2019,,
ace-Ritchie-2019-110-56-1,,ace,Ritchie-2019-110-56,limong plôh limong,limong plôh limong,,,Ritchie2019,,
ace-Ritchie-2019-110-57-1,,ace,Ritchie-2019-110-57,limong plôh nam,limong plôh nam,,,Ritchie2019,,
ace-Ritchie-2019-110-58-1,,ace,Ritchie-2019-110-58,limong plôh tujôh,limong plôh tujôh,,,Ritchie2019,,
ace-Ritchie-2019-110-59-1,,ace,Ritchie-2019-110-59,limong plôh lapan,limong plôh lapan,,,Ritchie2019,,
ace-Ritchie-2019-110-60-1,,ace,Ritchie-2019-110-60,limong plôh sikureuëng,limong plôh sikureuëng,,,Ritchie2019,,
ace-Ritchie-2019-110-61-1,,ace,Ritchie-2019-110-61,nam plôh,nam plôh,,,Ritchie2019,,
ace-Ritchie-2019-110-62-1,,ace,Ritchie-2019-110-62,nam plôh sa,nam plôh sa,,,Ritchie2019,,
ace-Ritchie-2019-110-63-1,,ace,Ritchie-2019-110-63,nam plôh duwa,nam plôh duwa,,,Ritchie2019,,
ace-Ritchie-2019-110-64-1,,ace,Ritchie-2019-110-64,nam plôh lhèë,nam plôh lhèë,,,Ritchie2019,,
ace-Ritchie-2019-110-65-1,,ace,Ritchie-2019-110-65,nam plôh peuët,nam plôh peuët,,,Ritchie2019,,
ace-Ritchie-2019-110-66-1,,ace,Ritchie-2019-110-66,nam plôh limong,nam plôh limong,,,Ritchie2019,,
ace-Ritchie-2019-110-67-1,,ace,Ritchie-2019-110-67,nam plôh nam,nam plôh nam,,,Ritchie2019,,
ace-Ritchie-2019-110-68-1,,ace,Ritchie-2019-110-68,nam plôh tujôh,nam plôh tujôh,,,Ritchie2019,,
ace-Ritchie-2019-110-69-1,,ace,Ritchie-2019-110-69,nam plôh lapan,nam plôh lapan,,,Ritchie2019,,
ace-Ritchie-2019-110-70-1,,ace,Ritchie-2019-110-70,nam plôh sikureuëng,nam plôh sikureuëng,,,Ritchie2019,,
ace-Ritchie-2019-110-71-1,,ace,Ritchie-2019-110-71,tujôh plôh,tujôh plôh,,,Ritchie2019,,
ace-Ritchie-2019-110-72-1,,ace,Ritchie-2019-110-72,tujôh plôh sa,tujôh plôh sa,,,Ritchie2019,,
ace-Ritchie-2019-110-73-1,,ace,Ritchie-2019-110-73,tujôh plôh duwa,tujôh plôh duwa,,,Ritchie2019,,
ace-Ritchie-2019-110-74-1,,ace,Ritchie-2019-110-74,tujôh plôh lhèë,tujôh plôh lhèë,,,Ritchie2019,,
ace-Ritchie-2019-110-75-1,,ace,Ritchie-2019-110-75,tujôh plôh peuët,tujôh plôh peuët,,,Ritchie2019,,
ace-Ritchie-2019-110-76-1,,ace,Ritchie-2019-110-76,tujôh plôh limong,tujôh plôh limong,,,Ritchie2019,,
ace-Ritchie-2019-110-77-1,,ace,Ritchie-2019-110-77,tujôh plôh nam,tujôh plôh nam,,,Ritchie2019,,
ace-Ritchie-2019-110-78-1,,ace,Ritchie-2019-110-78,tujôh plôh tujôh,tujôh plôh tujôh,,,Ritchie2019,,
ace-Ritchie-2019-110-79-1,,ace,Ritchie-2019-110-79,tujôh plôh lapan,tujôh plôh lapan,,,Ritchie2019,,
ace-Ritchie-2019-110-80-1,,ace,Ritchie-2019-110-80,tujôh plôh sikureuëng,tujôh plôh sikureuëng,,,Ritchie2019,,
ace-Ritchie-2019-110-81-1,,ace,Ritchie-2019-110-81,lapan plôh,lapan plôh,,,Ritchie2019,,
ace-Ritchie-2019-110-82-1,,ace,Ritchie-2019-110-82,lapan plôh sa,lapan plôh sa,,,Ritchie2019,,
ace-Ritchie-2019-110-83-1,,ace,Ritchie-2019-110-83,lapan plôh duwa,lapan plôh duwa,,,Ritchie2019,,
ace-Ritchie-2019-110-84-1,,ace,Ritchie-2019-110-84,lapan plôh lhèë,lapan plôh lhèë,,,Ritchie2019,,
ace-Ritchie-2019-110-85-1,,ace,Ritchie-2019-110-85,lapan plôh peuët,lapan plôh peuët,,,Ritchie2019,,
ace-Ritchie-2019-110-86-1,,ace,Ritchie-2019-110-86,lapan plôh limong,lapan plôh limong,,,Ritchie2019,,
ace-Ritchie-2019-110-87-1,,ace,Ritchie-2019-110-87,lapan plôh nam,lapan plôh nam,,,Ritchie2019,,
ace-Ritchie-2019-110-88-1,,ace,Ritchie-2019-110-88,lapan plôh tujôh,lapan plôh tujôh,,,Ritchie2019,,
ace-Ritchie-2019-110-89-1,,ace,Ritchie-2019-110-89,lapan plôh lapan,lapan plôh lapan,,,Ritchie2019,,
ace-Ritchie-2019-110-90-1,,ace,Ritchie-2019-110-90,lapan plôh sikureuëng,lapan plôh sikureuëng,,,Ritchie2019,,
ace-Ritchie-2019-110-91-1,,ace,Ritchie-2019-110-91,sikureuëng plôh,sikureuëng plôh,,,Ritchie2019,,
ace-Ritchie-2019-110-92-1,,ace,Ritchie-2019-110-92,sikureuëng plôh sa,sikureuëng plôh sa,,,Ritchie2019,,
ace-Ritchie-2019-110-93-1,,ace,Ritchie-2019-110-93,sikureuëng plôh duwa,sikureuëng plôh duwa,,,Ritchie2019,,
